TRADE NO 	DATETIME 	TYPE 	SYMBOL 	VOLUME 	OPEN PRICE 	CLOSE PRICE 	SWAP 	COMMISSION 	P&L
70895433 	2021-03-13 17:26 	BALANCE 		0.01 	0 	0 	0 	0 	352
70915579 	2021-03-15 16:31 	BUY 	EURNZD 	0.01 	1.65988 	1.66059 	0 	0 	0.43
70987400 	2021-03-15 16:31 	BUY 	EURNZD 	0.02 	1.65595 	1.66059 	0 	0 	5.59
71157191 	2021-03-16 13:49 	SELL 	EURNZD 	0.01 	1.66112 	1.65776 	0 	0 	2.03
71169662 	2021-03-16 14:29 	SELL 	CHFJPY 	0.01 	117.86 	117.519 	0 	0 	2.63
71200802 	2021-03-17 06:18 	BUY 	EURNZD 	0.01 	1.65759 	1.65834 	-0.11 	0 	0.45
71241756 	2021-03-17 06:18 	BUY 	EURNZD 	0.02 	1.65375 	1.65834 	-0.23 	0 	5.54
71418392 	2021-03-17 19:19 	SELL 	EURNZD 	0.01 	1.66323 	1.65767 	0 	0 	3.35
71463031 	2021-03-17 19:11 	BALANCE 		0.01 	0 	0 	0 	0 	-10
71509960 	2021-03-17 22:45 	BUY 	EURNZD 	0.01 	1.64963 	1.65536 	0 	0 	3.46
71734997 	2021-03-19 21:19 	SELL 	EURNZD 	0.01 	1.65952 	1.6611 	0.03 	0 	-0.95
71800403 	2021-03-19 21:19 	SELL 	USDCAD 	0.01 	1.24769 	1.25055 	-0.04 	0 	-1.92
72003011 	2021-03-19 21:19 	BUY 	CHFJPY 	0.01 	117.048 	117.152 	0 	0 	0.8
72005485 	2021-03-19 21:19 	SELL 	USDCAD 	0.02 	1.25289 	1.25055 	0 	0 	3.14
72047072 	2021-03-19 17:30 	BALANCE 		0.01 	0 	0 	0 	0 	-40
72106127 	2021-03-23 08:56 	BUY 	USDCHF 	0.01 	0.9247 	0.92826 	0.04 	0 	3.23
72139022 	2021-03-23 19:58 	SELL 	EURNZD 	0.01 	1.66616 	1.69332 	0.03 	0 	-16.04
72143689 	2021-03-23 19:58 	SELL 	EURNZD 	0.02 	1.67091 	1.6933 	0.06 	0 	-26.45
72147077 	2021-03-23 19:58 	SELL 	GBPNZD 	0.01 	1.94512 	1.96603 	0 	0 	-12.35
72147113 	2021-03-23 19:58 	BUY 	NZDCAD 	0.01 	0.89274 	0.87942 	0 	0 	-8.94
72150155 	2021-03-23 19:58 	SELL 	EURNZD 	0.03 	1.67608 	1.69332 	0 	0 	-30.54
72157617 	2021-03-23 19:58 	SELL 	GBPNZD 	0.02 	1.95047 	1.96603 	0 	0 	-18.38
72164257 	2021-03-23 19:58 	SELL 	EURNZD 	0.04 	1.68349 	1.69332 	0 	0 	-23.22
72164400 	2021-03-23 19:58 	BUY 	NZDCAD 	0.02 	0.8888 	0.87942 	0 	0 	-12.6
72172023 	2021-03-23 19:58 	SELL 	GBPNZD 	0.03 	1.95748 	1.96601 	0 	0 	-15.12
72175884 	2021-03-23 19:58 	BUY 	NZDCHF 	0.01 	0.65595 	0.65356 	0 	0 	-2.15
72495626 	2021-03-25 15:06 	BALANCE 		0.01 	0 	0 	0 	0 	117.7
73581255 	2021-04-16 21:06 	BALANCE 		0.01 	0 	0 	0 	0 	-281.47
73581400 	2021-04-16 21:12 	BALANCE 		0.01 	0 	0 	0 	0 	281.47
73581445 	2021-04-19 04:54 	SELL 	GBPUSD 	0.01 	1.38384 	1.38332 	0.03 	0 	0.43
73581574 	2021-04-19 04:54 	SELL 	GBPJPY 	0.01 	150.53 	150.303 	-0.04 	0 	1.75
73597238 	2021-04-19 05:22 	SELL 	EURGBP 	0.01 	0.86422 	0.86407 	0 	0 	0.17
73597504 	2021-04-19 06:54 	SELL 	USDJPY 	0.01 	108.638 	108.56 	0 	0 	0.6
73601242 	2021-04-19 07:38 	SELL 	GBPUSD 	0.02 	1.38554 	1.38515 	0 	0 	0.65
73601317 	2021-04-19 07:38 	BUY 	EURGBP 	0.02 	0.86359 	0.86438 	0 	0 	1.83
73601410 	2021-04-19 07:38 	SELL 	GBPCHF 	0.02 	1.27531 	1.27471 	0 	0 	1.09
73603632 	2021-04-27 17:06 	BUY 	USDJPY 	0.02 	108.547 	108.593 	0.47 	0 	0.7
73611188 	2021-04-19 09:15 	SELL 	USDCHF 	0.02 	0.91687 	0.91682 	0 	0 	0.09
73611275 	2021-04-21 09:17 	SELL 	EURCAD 	0.02 	1.50047 	1.51203 	0.08 	0 	-15.29
73611326 	2021-04-20 13:43 	BUY 	USDCHF 	0.02 	0.91667 	0.91687 	0.08 	0 	0.36
73611345 	2021-04-22 17:18 	SELL 	EURCAD 	0.02 	1.50044 	1.50029 	0.19 	0 	0.2
73611460 	2021-04-21 15:26 	SELL 	AUDCAD 	0.02 	0.96983 	0.96703 	-0.24 	0 	3.73
73615727 	2021-04-19 13:07 	SELL 	NZDUSD 	0.02 	0.71902 	0.71877 	0 	0 	0.41
73615968 	2021-04-19 18:06 	SELL 	EURCAD 	0.02 	1.50091 	1.50879 	0 	0 	-10.45
73616085 	2021-04-19 14:38 	BUY 	EURCHF 	0.02 	1.10022 	1.10037 	0 	0 	0.27
73616625 	2021-04-19 13:57 	SELL 	AUDCAD 	0.02 	0.97066 	0.97048 	0 	0 	0.24
73621258 	2021-04-21 14:16 	SELL 	GBPUSD 	0.01 	1.38971 	1.38903 	0.06 	0 	0.57
73621370 	2021-04-19 11:49 	BUY 	USDCHF 	0.01 	0.91353 	0.91406 	0 	0 	0.48
73640603 	2021-04-20 02:48 	SELL 	USDCAD 	0.02 	1.25158 	1.25127 	-0.07 	0 	0.41
